Format_Name,Standardized_Format_Name,Format_Type
Microsoft Works Database for DOS,Microsoft Works Database,database
Microsoft Works Database for Macintosh,Microsoft Works Database,database
Microsoft Works Database for Windows,Microsoft Works Database,database
Microsoft Works for Windows,Microsoft Works,text
Microsoft Works Spreadsheet,Microsoft Works Spreadsheet,spreadsheet
Microsoft Works Spreadsheet for Macintosh,Microsoft Works Spreadsheet,spreadsheet
Microsoft Works Word Processor 1-3 for DOS and 2 for Windows,Microsoft Works Word Processor,text
Microsoft Works Word Processor 3-4 for Windows,Microsoft Works Word Processor,text
Microsoft Works Word Processor 5-6,Microsoft Works Word Processor,text
Microsoft Works Word Processor Macintosh,Microsoft Works Word Processor,text
Midi,MIDI Audio,audio
MIDI Audio,MIDI Audio,audio
MIME Email,MIME Email,message
MIPSEB-LE MIPS-III ECOFF executable not stripped - version 0.0,MIPSEB-LE MIPS-III ECOFF executable,executable
Motorola Quark Express Document (English),Quark Xpress,design
MOV,Quicktime,video
MPEG,MPEG,video
MPEG 1/2 Audio Layer 3,MPEG,audio
MPEG 1/2 Audio Layer I,MPEG,audio
MPEG Audio,MPEG,audio
MPEG Movie Clip,MPEG,video
"MPEG sequence, H.264 video @ L 20",MPEG,video
"MPEG sequence, v1, progressive Y'CbCr 4:2:0 video, 320x240, 4:3, 30 fps, Constrained",MPEG,video
"MPEG sequence, v1, progressive Y'CbCr 4:2:0 video, CCIR/ITU NTSC 525, 29.97 fps",MPEG,video
"MPEG sequence, v1, progressive Y'CbCr 4:2:0 video, LD-TV 640P, 4:3, 29.97 fps",MPEG,video
"MPEG sequence, v1, system multiplex",MPEG,video
"MPEG sequence, v2, program multiplex",MPEG,video
MPEG video,MPEG,video
MPEG-1 Audio layer 3,MPEG,audio
MPEG-1 Audio layer 3.,MPEG,audio
MPEG-1 Program Stream,MPEG,video
MPEG-2 Program Stream,MPEG,video
MPEG-4,MPEG,video
MPEG-4 Audio,MPEG,audio
MPEG-4 Media File,MPEG,video
MPEG-PS,MPEG,video
MS DOS Compression format (KWAJ variant),MS DOS Compression format (KWAJ variant),archive
MS Windows 3.x help file,MS Windows 3.x help file,application
MS Windows icon resource,MS Windows icon resource,application
MS Windows icon resource - 1 icon,MS Windows icon resource,application
"MS Windows icon resource - 2 icons, 32x32, 16-colors",MS Windows icon resource,application
"MS Windows icon resource - 3 icons, 16x16, 256-colors",MS Windows icon resource,application
"MS Windows icon resource - 4 icons, 16x16, 256-colors",MS Windows icon resource,application
"MS Windows icon resource - 4 icons, 32x32, 256-colors",MS Windows icon resource,application
"MS Windows icon resource - 6 icons, 16x16, 16-colors",MS Windows icon resource,application
MS-DOS executable,MS-DOS executable,executable
"MS-DOS executable, MZ for MS-DOS",MS-DOS executable,executable
"MS-DOS executable, MZ for MS-DOS Self-extracting PKZIP archive, ZIP self-extracting archive",MS-DOS executable,executable
